Date,DateKey,Year,Quarter,Month,MonthName,Week
1/1/2022,20220101,2022,Q1,1,January,52
1/2/2022,20220102,2022,Q1,1,January,52
1/3/2022,20220103,2022,Q1,1,January,1
1/4/2022,20220104,2022,Q1,1,January,1
1/5/2022,20220105,2022,Q1,1,January,1
1/6/2022,20220106,2022,Q1,1,January,1
1/7/2022,20220107,2022,Q1,1,January,1
1/8/2022,20220108,2022,Q1,1,January,1
1/9/2022,20220109,2022,Q1,1,January,1
1/10/2022,20220110,2022,Q1,1,January,2
1/11/2022,20220111,2022,Q1,1,January,2
1/12/2022,20220112,2022,Q1,1,January,2
1/13/2022,20220113,2022,Q1,1,January,2
1/14/2022,20220114,2022,Q1,1,January,2
1/15/2022,20220115,2022,Q1,1,January,2
1/16/2022,20220116,2022,Q1,1,January,2
1/17/2022,20220117,2022,Q1,1,January,3
1/18/2022,20220118,2022,Q1,1,January,3
1/19/2022,20220119,2022,Q1,1,January,3
1/20/2022,20220120,2022,Q1,1,January,3
1/21/2022,20220121,2022,Q1,1,January,3
1/22/2022,20220122,2022,Q1,1,January,3
1/23/2022,20220123,2022,Q1,1,January,3
1/24/2022,20220124,2022,Q1,1,January,4
1/25/2022,20220125,2022,Q1,1,January,4
1/26/2022,20220126,2022,Q1,1,January,4
1/27/2022,20220127,2022,Q1,1,January,4
1/28/2022,20220128,2022,Q1,1,January,4
1/29/2022,20220129,2022,Q1,1,January,4
1/30/2022,20220130,2022,Q1,1,January,4
1/31/2022,20220131,2022,Q1,1,January,5
2/1/2022,20220201,2022,Q1,2,February,5
2/2/2022,20220202,2022,Q1,2,February,5
2/3/2022,20220203,2022,Q1,2,February,5
2/4/2022,20220204,2022,Q1,2,February,5
2/5/2022,20220205,2022,Q1,2,February,5
2/6/2022,20220206,2022,Q1,2,February,5
2/7/2022,20220207,2022,Q1,2,February,6
2/8/2022,20220208,2022,Q1,2,February,6
2/9/2022,20220209,2022,Q1,2,February,6
2/10/2022,20220210,2022,Q1,2,February,6
2/11/2022,20220211,2022,Q1,2,February,6
2/12/2022,20220212,2022,Q1,2,February,6
2/13/2022,20220213,2022,Q1,2,February,6
2/14/2022,20220214,2022,Q1,2,February,7
2/15/2022,20220215,2022,Q1,2,February,7
2/16/2022,20220216,2022,Q1,2,February,7
2/17/2022,20220217,2022,Q1,2,February,7
2/18/2022,20220218,2022,Q1,2,February,7
2/19/2022,20220219,2022,Q1,2,February,7
2/20/2022,20220220,2022,Q1,2,February,7
2/21/2022,20220221,2022,Q1,2,February,8
2/22/2022,20220222,2022,Q1,2,February,8
2/23/2022,20220223,2022,Q1,2,February,8
2/24/2022,20220224,2022,Q1,2,February,8
