DealID,CompanyID,RepID,CreatedDateKey,LastActivityDateKey,StageName,StageOrder,Status,BaseWinProbability,DealValueEUR,ProductCategory
1,654,12,20230827,20230831,Lead In,1,Won,0.1,3404,Integration Services
2,497,51,20230403,20230406,Lead In,1,Won,0.1,21144,Cloud Migration
3,831,4,20230807,20240918,Negotiation,4,Won,0.75,3877,Professional Services
4,435,34,20230917,20241025,Proposal,3,Lost,0.5,108362,Cloud Migration
5,794,10,20221119,20230507,Negotiation,4,Open,0.75,144740,Cloud Migration
6,218,30,20230209,20230213,Lead In,1,Lost,0.1,5418,Security
7,370,16,20230605,20240607,Lead In,1,Open,0.1,7545,Professional Services
8,720,37,20230621,20230715,Qualified,2,Open,0.25,36907,Analytics & BI
9,769,38,20231002,20240120,Negotiation,4,Open,0.75,108196,Integration Services
10,250,7,20230416,20230616,Proposal,3,Open,0.5,35650,Integration Services
11,209,17,20230930,20241220,Negotiation,4,Won,0.75,15603,Professional Services
12,768,31,20230410,20230423,Qualified,2,Won,0.25,55108,Cloud Migration
13,486,14,20230409,20240412,Lead In,1,Open,0.1,8043,Cloud Migration
14,376,4,20220921,20221228,Lead In,1,Lost,0.1,65915,Professional Services
15,390,2,20230512,20240517,Lead In,1,Open,0.1,18886,Cloud Migration
16,801,51,20230912,20241102,Proposal,3,Open,0.5,78715,Cloud Migration
17,572,45,20230301,20240717,Proposal,3,Open,0.5,129721,Security
18,982,30,20230127,20230221,Proposal,3,Lost,0.5,4739,Cloud Migration
19,207,50,20230715,20240727,Closing,5,Open,0.9,13606,Professional Services
20,570,30,20230816,20231009,Proposal,3,Open,0.5,22571,Analytics & BI
21,910,5,20230411,20240504,Qualified,2,Open,0.25,31753,Analytics & BI
22,666,21,20230613,20230818,Negotiation,4,Won,0.75,9671,Analytics & BI
23,904,4,20221021,20230413,Negotiation,4,Won,0.75,83941,Analytics & BI
24,94,38,20231130,20240109,Proposal,3,Won,0.5,34486,Professional Services
25,581,17,20220903,20220930,Lead In,1,Won,0.1,25528,Integration Services
26,314,28,20231218,20231225,Closing,5,Won,0.9,5207,Security
27,465,17,20220710,20220910,Proposal,3,Won,0.5,273759,Cloud Migration
28,425,12,20230609,20230616,Lead In,1,Lost,0.1,34688,Professional Services
29,599,5,20231121,20240323,Negotiation,4,Open,0.75,266417,Cloud Migration
30,58,27,20230818,20241110,Negotiation,4,Lost,0.75,3737,Data Platform
31,690,3,20230328,20230508,Proposal,3,Won,0.5,44276,Cloud Migration
32,946,1,20230821,20240906,Qualified,2,Open,0.25,59623,Integration Services
33,71,28,20230909,20231109,Proposal,3,Open,0.5,4947,Professional Services
34,64,30,20231021,20231106,Qualified,2,Lost,0.25,63408,Analytics & BI
35,13,12,20230927,20241008,Qualified,2,Open,0.25,158962,Integration Services
36,701,29,20231223,20240214,Proposal,3,Won,0.5,7962,Integration Services
37,52,2,20231022,20240225,Negotiation,4,Won,0.75,43774,Cloud Migration
38,484,10,20230719,20230824,Proposal,3,Open,0.5,40085,Integration Services
39,52,31,20221112,20230102,Negotiation,4,Open,0.75,24998,Security
40,600,10,20221222,20230129,Negotiation,4,Lost,0.75,14099,Professional Services
41,883,7,20230718,20250320,Negotiation,4,Lost,0.75,129059,Integration Services
42,488,30,20230829,20241023,Proposal,3,Won,0.5,31029,Analytics & BI
43,394,32,20230420,20230623,Negotiation,4,Open,0.75,9842,Professional Services
44,431,45,20230806,20240820,Qualified,2,Open,0.25,8210,Security
45,175,7,20231021,20231025,Lead In,1,Won,0.1,15004,Integration Services
46,813,52,20220904,20221018,Proposal,3,Lost,0.5,82288,Analytics & BI
47,650,10,20221124,20230420,Proposal,3,Open,0.5,64301,Integration Services
48,262,17,20220801,20221218,Lead In,1,Open,0.1,5679,Cloud Migration
49,517,18,20220814,20220925,Negotiation,4,Open,0.75,85539,Cloud Migration
50,720,35,20230711,20231116,Negotiation,4,Won,0.75,17785,Security
51,335,17,20230503,20240516,Qualified,2,Open,0.25,8119,Data Platform
52,936,21,20230831,20241025,Negotiation,4,Open,0.75,4948,Integration Services
53,2,34,20230926,20241011,Closing,5,Won,0.9,44375,Integration Services
54,488,2,20231007,20241012,Lead In,1,Won,0.1,118094,Analytics & BI
55,456,52,20221003,20221010,Qualified,2,Won,0.25,80496,Security
56,637,23,20231212,20240127,Negotiation,4,Won,0.75,2728,Analytics & BI
57,530,18,20230411,20230506,Proposal,3,Open,0.5,15496,Security
58,660,31,20230726,20240826,Proposal,3,Lost,0.5,6672,Security
59,90,2,20230525,20240601,Qualified,2,Open,0.25,11709,Analytics & BI
60,359,31,20220817,20220930,Closing,5,Lost,0.9,70266,Security
61,939,46,20230507,20230524,Closing,5,Open,0.9,74605,Integration Services
62,524,5,20231001,20231214,Negotiation,4,Lost,0.75,30063,Professional Services
63,733,38,20231207,20240310,Proposal,3,Open,0.5,169996,Analytics & BI
64,149,19,20220920,20221001,Negotiation,4,Open,0.75,5599,Integration Services
65,386,16,20231202,20231219,Closing,5,Open,0.9,48318,Security
66,755,37,20231007,20231101,Qualified,2,Lost,0.25,237654,Professional Services
67,680,34,20231213,20240210,Proposal,3,Open,0.5,57094,Integration Services
68,756,38,20230719,20230727,Closing,5,Open,0.9,43160,Integration Services
69,419,38,20220814,20230112,Qualified,2,Open,0.25,75997,Integration Services
70,612,31,20230727,20230917,Proposal,3,Won,0.5,65974,Cloud Migration
71,113,45,20230409,20230802,Negotiation,4,Lost,0.75,95531,Integration Services
72,311,7,20230727,20230806,Qualified,2,Open,0.25,4504,Security
73,164,38,20220703,20220803,Closing,5,Open,0.9,6977,Integration Services
74,830,28,20230417,20240626,Negotiation,4,Won,0.75,17201,Professional Services
75,194,3,20230217,20240501,Negotiation,4,Won,0.75,49023,Analytics & BI
76,787,37,20230726,20230802,Lead In,1,Won,0.1,32889,Analytics & BI
77,719,16,20230712,20230716,Lead In,1,Open,0.1,3130,Integration Services
78,451,22,20230904,20230912,Lead In,1,Open,0.1,54168,Data Platform
